成分A,成分B,相互作用レベル,説明
イブプロフェン,アスピリン,高,出血リスク増加・胃腸障害の悪化
イブプロフェン,ワーファリン,高,出血リスクの大幅増加
イブプロフェン,リチウム,中,リチウム中毒のリスク増加
アセトアミノフェン,ワーファリン,中,出血リスクの軽度増加
アセトアミノフェン,アルコール,中,肝障害のリスク増加
アスピリン,ワーファリン,高,出血リスクの大幅増加
アスピリン,メトトレキサート,高,メトトレキサート中毒のリスク増加
アスピリン,ACE阻害薬,中,腎機能障害のリスク増加
ロキソプロフェン,ワーファリン,高,出血リスクの大幅増加
ロキソプロフェン,リチウム,中,リチウム中毒のリスク増加
ジクロフェナク,ワーファリン,高,出血リスクの大幅増加
ジクロフェナク,リチウム,中,リチウム中毒のリスク増加
カフェイン,エフェドリン,中,動悸・不眠・血圧上昇の増強
カフェイン,テオフィリン,中,テオフィリン中毒のリスク増加
カフェイン,リチウム,低,リチウムの効果減弱
エフェドリン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク
エフェドリン,ベータ遮断薬,中,血圧上昇・心拍数の変動
エフェドリン,ジゴキシン,中,ジゴキシン中毒のリスク増加
プソイドエフェドリン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク
プソイドエフェドリン,ベータ遮断薬,中,血圧上昇・心拍数の変動
プソイドエフェドリン,ジゴキシン,中,ジゴキシン中毒のリスク増加
クロルフェニラミン,アルコール,中,眠気・注意力低下の増強
クロルフェニラミン,ベンゾジアゼピン,中,眠気・注意力低下の増強
クロルフェニラミン,オピオイド,中,呼吸抑制のリスク増加
ジフェンヒドラミン,アルコール,中,眠気・注意力低下の増強
ジフェンヒドラミン,ベンゾジアゼピン,中,眠気・注意力低下の増強
ジフェンヒドラミン,オピオイド,中,呼吸抑制のリスク増加
ロラタジン,ケトコナゾール,中,ロラタジンの血中濃度上昇
セチリジン,ケトコナゾール,中,セチリジンの血中濃度上昇
フマル酸ケトチフェン,アルコール,低,眠気の軽度増強
オキサトミド,アルコール,低,眠気の軽度増強
ベクロメタゾン,ワーファリン,低,出血リスクの軽度増加
フルチカゾン,ワーファリン,低,出血リスクの軽度増加
モメタゾン,ワーファリン,低,出血リスクの軽度増加
オキシメタゾリン,MAO阻害薬,中,血圧上昇のリスク増加
オキシメタゾリン,ベータ遮断薬,低,血圧上昇の軽度リスク
ナファゾリン,MAO阻害薬,中,血圧上昇のリスク増加
ナファゾリン,ベータ遮断薬,低,血圧上昇の軽度リスク
テトラヒドロゾリン,MAO阻害薬,中,血圧上昇のリスク増加
テトラヒドロゾリン,ベータ遮断薬,低,血圧上昇の軽度リスク
トラマドール,MAO阻害薬,高,重篤な副作用・セロトニン症候群のリスク
トラマドール,SSRI,高,セロトニン症候群のリスク増加
トラマドール,SNRI,高,セロトニン症候群のリスク増加
コデイン,MAO阻害薬,高,重篤な副作用・セロトニン症候群のリスク
コデイン,SSRI,高,セロトニン症候群のリスク増加
コデイン,SNRI,高,セロトニン症候群のリスク増加
ジヒドロコデイン,MAO阻害薬,高,重篤な副作用・セロトニン症候群のリスク
ジヒドロコデイン,SSRI,高,セロトニン症候群のリスク増加
ジヒドロコデイン,SNRI,高,セロトニン症候群のリスク増加
デキストロメトルファン,MAO阻害薬,高,重篤な副作用・セロトニン症候群のリスク
デキストロメトルファン,SSRI,中,セロトニン症候群のリスク増加
デキストロメトルファン,SNRI,中,セロトニン症候群のリスク増加
グアイフェネシン,ワーファリン,低,出血リスクの軽度増加
ブロムヘキシン,ワーファリン,低,出血リスクの軽度増加
アンブロキソール,ワーファリン,低,出血リスクの軽度増加
カルボシステイン,ワーファリン,低,出血リスクの軽度増加
アセチルシステイン,ワーファリン,低,出血リスクの軽度増加
メチルエフェドリン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク
メチルエフェドリン,ベータ遮断薬,中,血圧上昇・心拍数の変動
メチルエフェドリン,ジゴキシン,中,ジゴキシン中毒のリスク増加
フェニレフリン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク
フェニレフリン,ベータ遮断薬,中,血圧上昇・心拍数の変動
フェニレフリン,ジゴキシン,中,ジゴキシン中毒のリスク増加
マレイン酸クロルフェニラミン,アルコール,中,眠気・注意力低下の増強
マレイン酸カルビノキサミン,アルコール,中,眠気・注意力低下の増強
フマル酸クレマスチン,アルコール,中,眠気・注意力低下の増強
塩酸プロメタジン,アルコール,高,重篤な眠気・呼吸抑制のリスク
塩酸プロメタジン,ベンゾジアゼピン,高,重篤な眠気・呼吸抑制のリスク
塩酸プロメタジン,オピオイド,高,重篤な呼吸抑制のリスク
塩酸トリメトキノール,MAO阻害薬,中,血圧上昇のリスク増加
塩酸メトキシフェナミン,MAO阻害薬,中,血圧上昇のリスク増加
塩酸メチルエフェドリン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク
硫酸アトロピン,ベンゾジアゼピン,中,眠気・注意力低下の増強
硫酸アトロピン,オピオイド,中,便秘・排尿困難の増強
臭化ブチルスコポラミン,ベンゾジアゼピン,低,眠気の軽度増強
臭化ブチルスコポラミン,オピオイド,低,便秘の軽度増強
塩酸パパベリン,アルコール,低,眠気の軽度増強
塩酸ジフェンヒドラミン,アルコール,中,眠気・注意力低下の増強
マレイン酸クロルフェニラミン,アルコール,中,眠気・注意力低下の増強
フマル酸クレマスチン,アルコール,中,眠気・注意力低下の増強
マレイン酸カルビノキサミン,アルコール,中,眠気・注意力低下の増強
塩酸プロメタジン,アルコール,高,重篤な眠気・呼吸抑制のリスク
